line,place_geoid,in_DMV,place_pop,poverty_perc,valueOverall1,fullcountyname
16,6001,FALSE,1656754,0.112841167,28257.09122,"Alameda County, CA"
102,42003,FALSE,1221744,0.127465691,9355.496484,"Allegheny County, PA"
20,51013,TRUE,233464,0.077635081,27536.01583,"Arlington County, VA"
83,24005,FALSE,828018,0.090930439,14881.70281,"Baltimore County, MD"
44,34003,FALSE,930390,0.072329981,21538.54104,"Bergen County, NJ"
79,35001,FALSE,677858,0.176905067,15214.4129,"Bernalillo County, NM"
67,48029,FALSE,1952843,0.163873524,17535.23427,"Bexar County, TX"
104,36005,FALSE,1435068,0.285322656,7836.14882,"Bronx County, NY"
75,12011,FALSE,1926205,0.136622117,15700.88548,"Broward County, FL"
45,32003,FALSE,2182004,0.143498221,21466.29353,"Clark County, NV"
50,13067,FALSE,751218,0.10889119,20744.1885,"Cobb County, GA"
9,48085,FALSE,973977,0.071096195,31384.99766,"Collin County, TX"
21,6013,FALSE,1142251,0.093302292,27156.02897,"Contra Costa County, CA"
52,17031,FALSE,5198275,0.153251786,20277.44869,"Cook County, IL"
91,39035,FALSE,1247451,0.183094238,12396.10329,"Cuyahoga County, OH"
54,48113,FALSE,2606868,0.166209336,19930.04765,"Dallas County, TX"
43,47037,FALSE,687488,0.165092884,21748.67935,"Davidson County, TN"
18,48121,FALSE,833822,0.08738763,27979.20464,"Denton County, TX"
5,8031,FALSE,705576,0.146548473,33820.26601,"Denver County, CO"
89,12031,FALSE,936186,0.157204378,12969.9314,"Duval County, FL"
31,8041,FALSE,698974,0.115772169,23978.72718,"El Paso County, CO"
93,48141,FALSE,836062,0.218094096,12222.19715,"El Paso County, TX"
105,36029,FALSE,919355,0.146101666,7128.409052,"Erie County, NY"
57,25009,FALSE,783676,0.107239317,19212.39921,"Essex County, MA"
61,34013,FALSE,795404,0.165190073,18469.90991,"Essex County, NJ"
11,51059,TRUE,1145862,0.060378377,30545.56242,"Fairfax County, VA"
46,9001,FALSE,943926,0.089295701,21135.55498,"Fairfield County, CT"
26,48157,FALSE,765394,0.078884387,25349.92367,"Fort Bend County, TX"
68,39049,FALSE,1290360,0.165187127,17345.53749,"Franklin County, OH"
72,6019,FALSE,984521,0.236061438,16287.14268,"Fresno County, CA"
23,13121,FALSE,1036200,0.158377129,26456.98147,"Fulton County, GA"
53,13135,FALSE,915046,0.12258561,20269.16267,"Gwinnett County, GA"
86,39061,FALSE,813589,0.172463707,14009.35709,"Hamilton County, OH"
63,48201,FALSE,4646630,0.164835348,18215.58472,"Harris County, TX"
96,9003,FALSE,893561,0.112835059,11133.0921,"Hartford County, CT"
49,27053,FALSE,1245837,0.114853767,20750.95547,"Hennepin County, MN"
100,48215,FALSE,855176,0.310929101,9487.073916,"Hidalgo County, TX"
69,12057,FALSE,1422278,0.156686678,17310.33637,"Hillsborough County, FL"
41,15003,FALSE,984821,0.091408085,22087.55689,"Honolulu County, HI"
38,34017,FALSE,670046,0.158388424,22987.97755,"Hudson County, NJ"
70,29095,FALSE,696216,0.161876198,16743.73602,"Jackson County, MO"
76,21111,FALSE,767419,0.154455867,15690.68823,"Jefferson County, KY"
82,6029,FALSE,887641,0.214433363,14968.16346,"Kern County, CA"
8,53033,FALSE,2195502,0.102606217,32450.85229,"King County, WA"
90,36047,FALSE,2589974,0.208085059,12844.09542,"Kings County, NY"
37,17097,FALSE,701473,0.083443539,23300.61791,"Lake County, IL"
84,12071,FALSE,737468,0.134981405,14745.95576,"Lee County, FL"
35,6037,FALSE,10081570,0.157937866,23689.70456,"Los Angeles County, CA"
1,51107,TRUE,395134,0.037075905,44257.13166,"Loudoun County, VA"
98,26099,FALSE,870325,0.116895097,10943.2322,"Macomb County, MI"
40,4013,FALSE,4328810,0.146074905,22719.1965,"Maricopa County, AZ"
65,18097,FALSE,951869,0.192136953,17874.67929,"Marion County, IN"
24,37119,FALSE,1074475,0.131679311,25684.18672,"Mecklenburg County, NC"
85,12086,FALSE,2699428,0.186159864,14610.08091,"Miami-Dade County, FL"
39,25017,FALSE,1600842,0.081024288,22976.01954,"Middlesex County, MA"
59,34023,FALSE,825920,0.082117706,18882.45495,"Middlesex County, NJ"
78,55079,FALSE,951226,0.193767298,15271.80741,"Milwaukee County, WI"
103,36055,FALSE,743341,0.147186886,8635.836329,"Monroe County, NY"
32,24031,TRUE,1043530,0.068901002,23825.37664,"Montgomery County, MD"
42,42091,FALSE,823823,0.063412542,21879.71577,"Montgomery County, PA"
33,41051,FALSE,804606,0.158605854,23798.22921,"Multnomah County, OR"
2,51610,TRUE,14128,0.032946713,42942.97642,"Falls Church City, VA"
3,51600,TRUE,1145862,0.060378377,30545.56242,"Fairfax City, VA"
12,51510,TRUE,157613,0.092781248,30371.44348,"Alexandria City, VA"
15,17043,FALSE,929060,0.067660079,28489.59891,"Du Page County, IL"
58,29189,FALSE,996919,0.102241863,18884.7465,"St Louis County, MO"
64,24033,TRUE,908670,0.089212522,17972.93362,"Prince George's County, MD"
77,13089,FALSE,749323,0.167851212,15686.08873,"De Kalb County, GA"
62,36059,FALSE,1356509,0.057418654,18357.07703,"Nassau County, NY"
99,9009,FALSE,857513,0.122268021,9567.422743,"New Haven County, CT"
13,36061,FALSE,1631993,0.153238494,29039.33836,"New York County, NY"
27,25021,FALSE,700437,0.067573423,24686.874,"Norfolk County, MA"
71,26125,FALSE,1253185,0.094359665,16476.90676,"Oakland County, MI"
74,40109,FALSE,787216,0.168000934,15889.21459,"Oklahoma County, OK"
17,6059,FALSE,3168044,0.109855195,28217.52404,"Orange County, CA"
66,12095,FALSE,1349746,0.162383657,17712.82108,"Orange County, FL"
73,12099,FALSE,1465027,0.125539645,15993.52461,"Palm Beach County, FL"
88,42101,FALSE,1579075,0.24380579,13170.13856,"Philadelphia County, PA"
34,53053,FALSE,877013,0.117207,23731.50011,"Pierce County, WA"
94,4019,FALSE,1027207,0.176819529,12090.72021,"Pima County, AZ"
92,12103,FALSE,964666,0.130254571,12376.84111,"Pinellas County, FL"
95,12105,FALSE,686218,0.166798044,11706.22261,"Polk County, FL"
97,36081,FALSE,2287388,0.134123656,10957.75498,"Queens County, NY"
51,6065,FALSE,2411439,0.150016366,20706.24655,"Riverside County, CA"
60,6067,FALSE,1524553,0.161025672,18844.92451,"Sacramento County, CA"
14,49035,FALSE,1133646,0.112622838,29022.36296,"Salt Lake County, UT"
56,6071,FALSE,2149031,0.172748438,19443.99805,"San Bernardino County, CA"
25,6073,FALSE,3316073,0.127772077,25630.55019,"San Diego County, CA"
10,6075,FALSE,874961,0.119580739,30813.39402,"San Francisco County, CA"
47,6077,FALSE,742603,0.16524088,21044.25462,"San Joaquin County, CA"
6,6081,FALSE,767423,0.06939823,33059.89555,"San Mateo County, CA"
7,6085,FALSE,1927470,0.084263933,33059.45537,"Santa Clara County, CA"
87,47157,FALSE,936374,0.202066341,13375.9828,"Shelby County, TN"
22,53061,FALSE,798808,0.090458965,27037.36736,"Snohomish County, WA"
30,25025,FALSE,796605,0.193983563,24021.80201,"Suffolk County, MA"
80,36103,FALSE,1483832,0.067118949,15202.69392,"Suffolk County, NY"
48,48439,FALSE,2049770,0.13276581,20981.59785,"Tarrant County, TX"
19,48453,FALSE,1226805,0.139091368,27806.57019,"Travis County, TX"
29,6111,FALSE,847263,0.093365785,24102.6928,"Ventura County, CA"
28,37183,FALSE,1069079,0.102126859,24560.8381,"Wake County, NC"
101,26163,FALSE,1757299,0.229432206,9470.315069,"Wayne County, MI"
55,36119,FALSE,968890,0.092290866,19904.28747,"Westchester County, NY"
36,17197,FALSE,689315,0.075551748,23463.45856,"Will County, IL"
81,25027,FALSE,824772,0.110802549,14971.24638,"Worcester County, MA"
