line,place_geoid,in_DMV,place_pop,poverty_perc,placeOverall1,valueOverall1,placeFederal1,valueFederal1,placeMission1,valueMission1,placeSmallBiz1,valueSmallBiz1,placeNonRes1,valueNonRes1,placeSF1,valueSF1,placeMF1,valueMF1
1,51107,TRUE,395134,0.037075905,"Loudoun, VA",44257.13166,"Bronx, NY",845.7944596,"El Paso, TX",848.5532783,"Fort Bend, TX",9404.69874,"Will, IL",13921.4759,"Loudoun, VA",43290.13333,"San Francisco, CA",9247.115588
2,51610,TRUE,14128,0.032946713,"Falls Church City, VA",42942.97642,"Denver, CO",668.834306,"Washington, DC",819.33914,"Collin, TX",9217.027004,"Hudson, NJ",11937.20427,"Falls Church City, VA",41556.6485,"Santa Clara, CA",8637.330146
3,51600,TRUE,23531,0.081041862,"Fairfax City, VA",42350.60087,"Snohomish, WA",525.8828446,"Lee, FL",520.6622563,"Denton, TX",8432.34412,"Denton, TX",11293.31842,"Alexandria City, VA",41019.40918,"Philadelphia, PA",8616.79731
4,11001,TRUE,692683,0.165916048,"Washington, DC",34959.86285,"New York, NY",519.4164158,"Fairfax City, VA",473.6451038,"Wake, NC",7464.866271,"Collin, TX",10301.70231,"New York, NY",38139.68788,"San Mateo, CA",8122.078587
5,08031,FALSE,705576,0.146548473,"Denver, CO",33820.26601,"King, WA",497.3793853,"Hillsborough, FL",463.2823499,"Gwinnett, GA",7311.193054,"Lake, IL",9444.375868,"Arlington, VA",37912.70682,"Los Angeles, CA",8092.812516
6,06081,FALSE,767423,0.06939823,"San Mateo, CA",33059.89555,"Suffolk, MA",484.1769785,"Jackson, MO",437.7220409,"Fulton, GA",7217.886238,"San Joaquin, CA",9330.387553,"Washington, DC",37357.10293,"Alameda, CA",8064.954567
7,06085,FALSE,1927470,0.084263933,"Santa Clara, CA",33059.45537,"Essex, NJ",412.8410455,"San Francisco, CA",410.8308541,"Cobb, GA",7133.912505,"Du Page, IL",9115.880595,"San Francisco, CA",36599.20555,"Gwinnett, GA",7702.579255
8,53033,FALSE,2195502,0.102606217,"King, WA",32450.85229,"San Francisco, CA",408.1031486,"Suffolk, MA",402.5269844,"Loudoun, VA",6964.226842,"Denver, CO",8944.391895,"San Mateo, CA",35205.39239,"El Paso, CO",7323.86968
9,48085,FALSE,973977,0.071096195,"Collin, TX",31384.99766,"Fulton, GA",325.2115444,"Falls Church City, VA",381.5170363,"Tarrant, TX",6909.430873,"Cook, IL",8533.747695,"Santa Clara, CA",35199.0752,"Loudoun, VA",7250.733021
10,06075,FALSE,874961,0.119580739,"San Francisco, CA",30813.39402,"Travis, TX",312.6893857,"Hamilton, OH",377.5446222,"Mecklenburg, NC",6861.901889,"Pierce, WA",8508.235967,"King, WA",30326.27574,"Pierce, WA",7221.81543
11,51059,TRUE,1145862,0.060378377,"Fairfax, VA",30545.56242,"Hudson, NJ",285.0518513,"Arlington, VA",375.005505,"Denver, CO",6788.108908,"Fort Bend, TX",8384.650493,"Alameda, CA",30127.77725,"Ventura, CA",7205.495013
